"bio1" "bio2" "bio3" "bio4" "bio5" "bio6" "bio8" "bio9" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19"
"73" 79 61 26 6162 203 -26 154 26 160 5 639 67 34 21 195 113 184 151
"74" 78 61 26 6157 201 -28 152 24 158 3 656 68 35 22 200 116 188 155
"75" 79 61 26 6188 203 -29 153 26 160 4 654 69 35 22 202 115 190 153
"76" 79 61 26 6188 203 -29 153 26 160 4 654 69 35 22 202 115 190 153
"77" 79 61 26 6188 203 -29 153 26 160 4 654 69 35 22 202 115 190 153
"78" 79 61 26 6188 203 -29 153 26 160 4 654 69 35 22 202 115 190 153
"79" 79 61 26 6188 203 -29 153 26 160 4 654 69 35 22 202 115 190 153
"80" 79 61 26 6188 203 -29 153 26 160 4 654 69 35 22 202 115 190 153
"81" 79 61 26 6188 203 -29 153 26 160 4 654 69 35 22 202 115 190 153
"82" 79 61 26 6188 203 -29 153 26 160 4 654 69 35 22 202 115 190 153
"83" 79 61 26 6188 203 -29 153 26 160 4 654 69 35 22 202 115 190 153
"84" 79 61 26 6188 203 -29 153 26 160 4 654 69 35 22 202 115 190 153
"85" 78 61 26 6157 201 -28 152 24 158 3 656 68 35 22 200 116 188 155
"86" 78 61 26 6157 201 -28 152 24 158 3 656 68 35 22 200 116 188 155
"87" 76 61 26 6205 200 -32 150 22 157 0 694 72 37 22 212 122 199 165
"88" 76 61 26 6205 200 -32 150 22 157 0 694 72 37 22 212 122 199 165
"89" 76 61 26 6205 200 -32 150 22 157 0 694 72 37 22 212 122 199 165
"90" 76 61 26 6205 200 -32 150 22 157 0 694 72 37 22 212 122 199 165
"91" 76 61 26 6205 200 -32 150 22 157 0 694 72 37 22 212 122 199 165
"92" 76 61 26 6205 200 -32 150 22 157 0 694 72 37 22 212 122 199 165
"93" 76 61 26 6205 200 -32 150 22 157 0 694 72 37 22 212 122 199 165
"94" 76 61 26 6205 200 -32 150 22 157 0 694 72 37 22 212 122 199 165
"95" 76 61 26 6205 200 -32 150 22 157 0 694 72 37 22 212 122 199 165
"96" 76 61 26 6205 200 -32 150 22 157 0 694 72 37 22 212 122 199 165
"97" 73 61 26 6205 199 -34 148 19 154 -2 709 74 39 21 215 126 202 171
"98" 73 61 26 6205 199 -34 148 19 154 -2 709 74 39 21 215 126 202 171
"99" 73 61 26 6205 199 -34 148 19 154 -2 709 74 39 21 215 126 202 171
"100" 73 61 26 6205 199 -34 148 19 154 -2 709 74 39 21 215 126 202 171
"101" 73 61 26 6205 199 -34 148 19 154 -2 709 74 39 21 215 126 202 171
"102" 73 61 26 6205 199 -34 148 19 154 -2 709 74 39 21 215 126 202 171
"103" 73 61 26 6205 199 -34 148 19 154 -2 709 74 39 21 215 126 202 171
"104" 73 61 26 6205 199 -34 148 19 154 -2 709 74 39 21 215 126 202 171
"105" 73 61 26 6205 199 -34 148 19 154 -2 709 74 39 21 215 126 202 171
"106" 73 61 26 6205 199 -34 148 19 154 -2 709 74 39 21 215 126 202 171
"107" 79 61 26 6162 203 -26 154 26 160 5 639 67 34 21 195 113 184 151
"108" 30 84 25 8359 198 -127 127 -34 139 -77 683 77 40 23 219 125 193 152
"109" 30 84 25 8359 198 -127 127 -34 139 -77 683 77 40 23 219 125 193 152
"110" 30 84 25 8359 198 -127 127 -34 139 -77 683 77 40 23 219 125 193 152
"111" 30 84 25 8359 198 -127 127 -34 139 -77 683 77 40 23 219 125 193 152
"112" 33 82 24 8664 206 -127 135 -34 147 -77 644 74 37 25 205 114 183 145
"113" 33 82 24 8664 206 -127 135 -34 147 -77 644 74 37 25 205 114 183 145
"114" 33 82 24 8664 206 -127 135 -34 147 -77 644 74 37 25 205 114 183 145
"115" 33 82 24 8664 206 -127 135 -34 147 -77 644 74 37 25 205 114 183 145
"116" 30 84 25 8359 198 -127 127 -34 139 -77 683 77 40 23 219 125 193 152
"117" 30 84 25 8359 198 -127 127 -34 139 -77 683 77 40 23 219 125 193 152
"118" 34 83 24 8670 208 -126 136 -32 148 -76 635 73 37 25 202 112 180 143
"119" 76 58 25 6132 199 -27 151 21 157 2 612 68 35 20 188 109 176 144
"120" 76 58 25 6132 199 -27 151 21 157 2 612 68 35 20 188 109 176 144
"121" 76 58 25 6132 199 -27 151 21 157 2 612 68 35 20 188 109 176 144
"122" 76 58 25 6132 199 -27 151 21 157 2 612 68 35 20 188 109 176 144
"123" 76 58 25 6132 199 -27 151 21 157 2 612 68 35 20 188 109 176 144
"124" 76 58 25 6132 199 -27 151 21 157 2 612 68 35 20 188 109 176 144
"125" 76 58 25 6132 199 -27 151 21 157 2 612 68 35 20 188 109 176 144
"126" 76 58 25 6132 199 -27 151 21 157 2 612 68 35 20 188 109 176 144
"127" 76 58 25 6132 199 -27 151 21 157 2 612 68 35 20 188 109 176 144
"128" 76 58 25 6132 199 -27 151 21 157 2 612 68 35 20 188 109 176 144
"129" 76 58 25 6132 199 -27 151 21 157 2 612 68 35 20 188 109 176 144
"130" 34 82 24 8606 205 -126 134 -33 146 -76 654 74 38 24 206 117 184 148
"131" 34 82 24 8606 205 -126 134 -33 146 -76 654 74 38 24 206 117 184 148
"132" 31 84 25 8694 205 -131 132 -35 145 -80 642 74 37 24 206 114 186 143
"133" 31 84 25 8694 205 -131 132 -35 145 -80 642 74 37 24 206 114 186 143
